perfume_name,description,image,brand,brandid,gender,product_type,character_x,fragrance_family,size,year,concentration,top_note,middle_note,base_note,language,file_format,image_resolution,similar_perfumes
Lanvin Marry Me!,"Marry Me! Eau de Parfum by Lanvin, has a floral composition. The creator of this perfume is Antoine Maisondieu. The perfume has accords of Tunisian Orange, Sambac Jasmine, Peach, Jasmine Tea in top notes. The heart notes have accords of Jasmine, Magnolia Blossom, and Rose petals. The base notes have White flowers, Amber and Musk.
About the brand:
Lanvin is the oldest fashion house in Paris as it traces its journey back in 1889. The founder of the brand is Jeanne Lavin. They serve a wide range of luxury and elegant perfumes. Lanvin is a global luxury brand that offers its customers exceptional products.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/_/c_users_hp_appdata_local_packages_microsoft.skypeapp_kzf8qxf38zg5c_localstate_e7cba200-685a-46fe-9bdd-c76a026d6af0.jpg,Lanvin,212,Women,Perfume,Romantic,Floral,75 ml,2010,Eau de Parfum,"Bitter Orange, Freesia, Peach","Jasmine, Rose, Magnolia","Musk, Cedar, Amber",en,png,750x750,"Al Majed for Oud Maiyal Plus EDP, Tous Les Jours Perfume Day 3, S.T. Dupont Essence Pure"
Acqua Di Parma Colonia Mirra,"An elegant original fragrance consists of a unique combination of aromas where the citrus notes are intertwined with the deep, warm, and aromatic notes of myrrh, blend with the delicate aromas of the orange flowers.
About the brand:
Acqua Di Parma is considered to be a Synonymous with Italian dedication and elegance. Its colognes, parfumes, and home fragrances have been exclusively handcrafted in Italy with the highest-quality ingredients since 1916. Its International success started in the 1930s, when legends of Hollywood discovered the fragrance and full in love with it. Acqua di Parma is a symbol of Italian chic.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_acqua_di_parma_perfumes_colonia_mirra_for_men_eau_de_cologne.jpg,Acqua Di Parma,6,Men,Perfume,Romantic,Aromatic,100 ml,2017,Eau de Cologne,"Lemon, Tangerine and Petit Grain","Orange Blossom, Nutmeg, Myrrh Oil",Patchouli and Myrrh Resin,en,png,750x750,"One Word Syzygy EDP - 100 ml, Jimmy Choo I Want Oud EDP, CnR Create Star Sign Taurus"
Tom Ford Grey Vetiver,"Tom Ford Grey Vetiver, Eau de parfume for men, was launched in 2009. This product is available in an elegant and attractive bottle. It features a mixture of citrus, spices and woody notes, which are combined to give you a seductive aroma. The parfume also contains a series of interesting notes that include sweet pepper, oak moss, sage and many more.
About the brand:
Tom Ford is a famous American designer who launched his brand in 2005 with the aim of redefining modern luxury. These include men's clothes, women's clothing, accessories, sunglasses and parfumes",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/o/tom_ford_grey_vetiver.jpg,Tom Ford,353,Men,Perfume,Natural,Woody,50 ml,2009,Eau de Parfum,"Grapefruit, orange blossom, and sage","Nutmeg, oris root, and pimento","vetiver, amber, woodsy notes, and oakmoss",en,png,750x750,"Giorgio Beverly Hills G, Van Cleef & Arpels Bois D'Iris, Laboratorio Olfattivo Daimiris EDP"
Yves Saint Laurent L'Homme,"A fresh and woody fragrance that plays on contrasts and leaves a magnetic, sensual trail. A fresh and sparkling opening. An elegant and modern character, made of floral and spicy notes. A woody ambery structure, deeply masculine. Notes of Bergamot, Ginger and Vetiver make this a must-have fragrance.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/y/s/ysl_l_homme_eau_de_toilette_2.jpg,Yves Saint Laurent,383,Men,Perfume,Romantic,Floral Oriental,100 ml,2017,Eau de Toilette,Citron,"Ginger, Basil blossoms","Vetiver, Tonka bean",en,png,750x750,"Jaguar Imperial For Men, Diesel Spirit Of The Brave EDT, Al Dakheel Oud AL-Abaya EDP"
Tous Les Jours Perfume Day 165,"A refreshing unisex scent designed to suit all the tastes. The top notes of orange come on a heart of jasmine and base of vetiver, which offers a special fragrance that works ideally on the busy days and special nights leaving your signature touched.
About the brand:
Tous Les Jours is a Saudi brand that offers a wide variety of perfumes. it takes into account the different material capabilities of customers while maintaining the characteristics of quality and stability in its products, especially With the quality of the fragrance and the shape of the package. As it uses the finest oils imported from the best French and Swiss sources. The marketing department manages more than 244 points of sale throughout the Kingdom of Saudi Arabia alone, and the number increases to new sites and more in new countries every year.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/2000165-tous-les-jours-tous-les-jours---perfume-day-165-1.png,Tous Les Jours,356,Unisex,Perfume,Natural,Woody,55 ml,2019,Eau de Parfum,"Bergamot, orange, mandarin orange, spices","jasmine, ginger, cardamom, coriander","vetiver, Virginia cedar",en,png,750x750,"Givenchy Pour Homme, Elie Saab Le Parfum Resort Collection, Sisley Sisley Eau de 2 EDT"
Lacoste Eau de Lacoste L.12.12 Blanc Pure,"It is a pure classic floral woody fragrance. It opens its notes with grapefruit, and cedar leaf, mixed with the core of Mexican tuberose. Sensual notes of leather and cedar form the base.
About the brand:
Lacoste is a French company, established in 1933 by tennis players RenÃƒÂ© Lacoste and AndrÃƒÂ© Gillier. Its green crocodile logo refers to the nickname of RenÃƒÂ© Lacoste, who was nicknamed ""the Crocodile"" by his fans, because of his tenacity on the tennis court. The company is committed to designing products that combine discovery, excellence, and style. It sells perfumes, clothing, leather goods, towels, footwear, sportswear, eyewear, and watches.
  ",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/3/737052895956-lacoste-lacoste-eau-de-lacoste-l.12.12-blanc-pure-men-edt-50-ml.jpg,Lacoste,209,Men,Perfume,Natural,Woody,50 ml,2011,Eau de Toilette,"Grapefruit, Cardamom, Rosemary And Cedar Leaf","Mexican Tuberose, Ylang-ylang","Leather, Suede, Cedar",en,jpg,750x750,"Laboratorio Olfattivo Tonkade EDP, BvlgariLe Gemme Azaran EDP, Xerjoff King Masarat Extrait de Parfum"
Chopard Happy Spirit,"This fruity fragrance comes with a fresh and sweet aroma of natural fruits that refreshes your senses and touches your heart with warmth and relaxation sensual feelings.
About the brand:
Chopard is emblematic of a natural, positive and responsible parfumery, Chopard places nature, ethics and luxury naturals at the very heart of its fragrance universe. Created by world-class parfumers and crafted from the highest quality ingredients and the most treasured naturals, responsibly sourced from across the world.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/h/chopard_happy_spirit.jpg,Chopard,87,Women,Perfume,Extravagant,Fruity,75 ml,2007,Eau de Parfum,"Berries, oranges","Honey flowers, osmanthus","Cashmere woods, musk, amber",en,png,750x750,"Carolina Herrera 212 Vip Rose, Memo Paris Cuirs Nomades Sicilian Leather EDP, Roberto Cavalli Paradiso Azzurro"
Widian Aj Arabia New York EDP,"An elegant woody fragrance characterized by its distinctive and unique scent.
Creates a strong and captivating aromatic aura around you.
The fragrance has an irresistible attraction that will be addictive from the first touch.
The fragrance is also perfectly designed to suit both men and women.
About the brand:
Widian Aj Arabia is a perfume house founded by Ali Al Jabri in Abu Dhabi, United Arab Emirates. Widian Aj Arabia presents luxurious oriental scents of Arabia blended with floral and fruity scents from around the world. It combines the nobility of the traditional Arab spirit and the contemporary at the same time. These delicate high-end perfumes take you on a journey into the enchanting oriental heritage.",https://www.skins.nl/media/aa/78/b4/1726438254/7d729ca2881a59eb495a0ceb743fc0d2.png?ts=1756131226,Widian,379,Unisex,Perfume,Natural,Woody,50 ml,2019,Eau de Parfum,"Yellow Mandarin, Juniper, Lavender, Bergamot, Pink Pepper, Coriander","Rose Water, Rose","guaiac wood, vetiver, cedar, woods",en,png,1200x1200,"Marly Byerley, Uniqo Corallo EDP - 100 ml, WAW Wood EDP - 50 ml"
Al Dakheel Oud AL-Abaya EDP,"An amazing aromatic blend that represents your elegant beauty and unique look.
The fragrance is enriched with an exceptional aromatic blend of natural ingredients carefully selected.
The fragrance provides you with a very elegant and attractive look.
This wonderful fragrance will become an essential part of your perfume collection.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/2/6281150555051-al-dakheel-for-oud-perfume-al-abaya.png,Al Dakheel Oud,16,Unisex,Perfume,Charismatic,Oriental,160 ml,2017,Eau de Parfum,"Cherry, Almond, Black Currant","Oriental Mixture, Tonka Bean, Jasmine","Vanilla, Vetiver",en,png,750x750,"Yves Saint Laurent L'Homme, Givenchy Dahlia Divin Le Nectar de Parfum EDP, Stephane Humbert Lucas 777 Une Nuit a Doha EDP"
Jacques Bogart One Man Show Gold Edition EDT,"An elegant fragrance specially designed for men.
An amazing masculine fragrance that will engulf you in an unexpected aroma.
Its scent will attract everyone's attention from the first moment.
The fragrance starts with top notes of red apple, violet, anise, African orange flower and mandarin orange to start your day with energy.
The middle notes of the fragrance include cinnamon, cloves, lavender and geranium.
The fragrance ends with musk, amber, French labdanum and wood.
About the brand:
Jacques Bogart is a large and old French perfume house that originated in the seventies of the last century and presented a group of distinct and different fragrance versions for men and women.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/3355991003408-jacques-bogart-jacques-bogart-one-man-show-gold-edition-_m_-edt-100-ml.png,Jacques Bogart,168,Men,Perfume,Romantic,Woody,100 ml,2011,Eau de Toilette,"Red Apple, Violet, Aniseed, African Orange Flower, Mandarin Orange","Cinnamon, Carnation, Lavender, Geranium","Musk, Amber, French Labdanum, Woody",en,png,750x750,"Jovan Musk, Xerjoff Naxos EDP, S.T. Dupont Essence Pure"
